SMILES,WienerIndex,ZagrebIndex,TPSA,BalabanIndex,Kappa1,Kappa2,Kappa3,MolecularWeight,LogP,NumHDonors,NumHAcceptors,NumRotatableBonds,NumRings,QED
C1C(C2=NCCN2)C1(C1=CC=CC=C1)C1=CC=CC=C1,751.0,112,24.39,1.7972389555410482,11.713177792095246,4.480081934998562,1.6780731210064521,262.35600000000005,2.9943000000000017,1,2,3,4,0.9032005021790173
CC(C)N1C(=O)N=C(C2=CC=CC=C2)C2=CC=C(C)C=C12,840.0,112,34.89,2.438780753958475,13.557908864503739,5.167886430257662,2.3536531527645814,278.355,3.9528200000000027,0,2,2,3,0.7110319174207936
CCC1(CCCCN(C)C1)C1=CC(O)=CC=C1,474.0,86,23.47,2.343811250460894,12.437269065941917,5.091289572002246,2.62965255911788,233.35500000000002,3.155700000000002,1,2,2,2,0.8478904413597522
COC1=C(C=CC=C1)N1CCN(CC(O)COC2=CC=CC3=CC=CC=C23)CC1,2668.0,150,45.17,1.2814356492475176,19.551847234360295,9.158801307463373,4.6336394349161605,392.4990000000001,3.410300000000002,1,5,7,4,0.6676511215871563
CN1C=C2C[C@@H]3[C@H](C[C@@H](CNC(=O)OCC4=CC=CC=C4)CN3C)C3=CC=CC1=C23,2692.0,166,46.50000000000001,1.2504644851371114,19.190003164062816,7.80082931102944,3.4748336949025354,403.5260000000001,4.064700000000003,1,3,4,5,0.7144914102401916
CN1CCN(CC1)C1=NC2=CC=CC=C2NC2=C1C=C(C)S2,958.0,122,30.869999999999997,1.8094067663599596,13.788296582061772,5.409294431379946,2.401272703146137,312.44200000000006,3.4392200000000015,1,5,0,4,0.8082561901210404
CCOC(=O)N1CCC(CC1)=C1C2=CC=C(Cl)C=C2CCC2=C1N=CC=C2,1772.0,144,42.43,1.7553254108779224,18.052915404577863,7.729953781795351,3.5865231460805265,382.89100000000013,4.887800000000005,0,3,1,4,0.7048857984659848
CC1=C(C=NO1)C(=O)NC1=CC=C(C=C1)C(F)(F)F,770.0,98,55.13,2.124666471103936,13.129450737706515,4.753017218495077,2.9280963381750933,270.21,3.2541200000000012,1,3,2,2,0.9108229912132475
CC(=O)O[C@H]1[C@H](C[C@H]2[C@@H]3CC[C@H]4C[C@H](OC(C)=O)[C@H](C[C@]4(C)[C@H]3CC[C@]12C)[N+]1(C)CCCCC1)[N+]1(C)CCCCC1,5163.0,238,52.6,1.3061146125522727,29.910546516243432,10.786724576322717,4.99022833752274,572.8750000000001,6.110500000000007,0,4,4,6,0.30133279842362654
CN1CCCCC1C(=O)NC1=C(C)C=CC=C1C,609.0,90,32.34,2.1094798492313362,13.090417626335174,5.527843562409225,2.7249309314705417,246.35399999999998,2.7262400000000007,1,2,2,2,0.8699043213708457
O=C1N(C=C(C=C1C1=C(C=CC=C1)C#N)C1=CC=CC=N1)C1=CC=CC=C1,1704.0,142,58.68,2.043525273832102,16.495846095900752,7.105352337468019,3.1429186603891663,349.3930000000001,4.438180000000003,0,3,3,4,0.5493442133854947
COC1=CC=C2C=C(CCC(C)=O)C=CC2=C1,566.0,84,26.3,2.2794935782808614,11.64944516537148,5.000460648830569,2.842966419126076,228.29099999999997,3.370000000000002,0,2,4,2,0.8015823313615686
CN1CCC2=C3[C@H]1CC1=CC=C(O)C(O)=C1C3=CC=C2,680.0,116,43.7,2.0538502232888645,11.795918367346939,3.9963269054178143,1.44,267.328,2.8499000000000017,2,3,0,4,0.7213394581196795
COC(=O)[C@@H](N1CCC2=C(C1)C=CS2)C1=C(Cl)C=CC=C1,867.0,110,29.54,1.9432242287829185,14.571987385583622,6.178250993598703,2.838691255205235,321.82900000000006,3.6739000000000024,0,4,3,3,0.807761185070717
ClC1=CC(Cl)=C(C=C1)C(CN1C=CN=C1)OCC1=CSC2=C1C=CC=C2Cl,1886.0,144,27.05,1.6101017021629744,18.78712504525035,8.210963516061211,4.152509872748839,437.7790000000002,7.016100000000004,0,3,6,4,0.3240113707540214
ClC1=CC2=C(CC(=O)N2)C=C1CCN1CCN(CC1)C1=NSC2=C1C=CC=C2,2344.0,156,48.470000000000006,1.2037543273576896,17.915323827400545,7.351296921582725,3.363098807701631,412.94600000000014,3.809000000000003,1,5,4,5,0.7074872979003035
CN1C2=CC=C(Cl)C=C2N(C2=CC=CC=C2)C(=O)CC1=O,807.0,112,40.620000000000005,2.2371936988129644,13.643835157913811,5.2201165206274105,2.3830286117828967,300.7450000000001,3.3712000000000018,0,2,1,3,0.7576569223589451
CC(=O)O[C@H]1[C@H](C[C@H]2[C@@H]3CC[C@H]4C[C@H](OC(C)=O)[C@H](C[C@]4(C)[C@H]3CC[C@]12C)N1CCCCC1)[N+]1(C)CCCCC1,4889.0,230,55.84,1.2887857139675525,28.955212786861313,10.848188792052536,4.849921274898807,557.8400000000003,5.965900000000007,0,5,4,6,0.3151098082587802
CCCCN1CCCCC1C(=O)NC1=C(C)C=CC=C1C,958.0,102,32.34,2.065054948314816,16.02802883290633,7.599376898652427,4.068068371596222,288.43500000000006,3.8965400000000026,1,2,5,2,0.8910127130247419
